ID,population,RBN,CL,RL,DTF3,FT16,FT10
88,0,2.3534,8.9488,33.4225,60.9184,60.8343,69.0711
108,0,4.2606,7.9995,36.4293,62.5893,62.4971,77.5109
139,0,,7.6379,40.6687,63.1061,63.0229,76.3574
159,0,4.4817,8.1127,46.6716,67.0934,66.992,79.5278
265,1,,8.8147,24.7254,51.0615,51.1115,66.2468
350,0,4.5338,9.4582,31.4684,61.9052,61.8177,76.1232
351,0,3.2399,12.4314,40.7536,75.5705,75.4798,76.8509
403,2,3.4065,8.4687,39.7284,64.933,63.9997,69.6666
410,2,5.852,9.9479,44.7783,75.9292,75.0033,82.0639
424,2,3.8153,11.0251,48.6161,78.8063,77.8644,89.0144
428,2,3.8712,9.4762,38.0339,69.7026,68.7749,81.7341
430,2,4.4282,6.7299,40.2354,65.6402,64.7095,97.8687
630,0,4.2991,11.848,44.2649,69.0998,69.0093,81.063
763,3,3.7134,5.5549,20.0178,41.8944,41.5684,68.9397
765,3,4.2787,4.9235,18.078,39.6368,39.3151,60.2394
766,3,4.3591,5.7628,22.817,44.669,44.3535,66.8553
768,3,4.6616,11.018,35.6488,80.6973,80.3728,79.4062
772,3,4.8928,6.2173,23.1113,46.3986,46.0763,70.6826
801,4,3.1644,16.3376,67.192,98.3025,98.2752,99.6853
870,4,,9.6384,47.3447,72.5949,72.5128,77.924
915,4,4.1043,7.6676,26.6605,53.8172,53.7839,69.3136
932,0,,12.4214,55.184,78.9591,78.8901,85.3426
991,5,4.4292,22.8285,69.4425,93.3659,93.0147,98.4229
992,5,5.5224,12.5539,67.2276,86.6439,86.3024,103.6331
997,5,,14.9133,53.8855,74.2846,73.9446,89.232
1002,5,3.0259,10.0299,66.972,73.1486,72.8025,90.8552
1061,5,4.2599,18.4853,45.0398,81.3981,81.0438,85.855
1062,5,,13.5209,37.9449,55.1938,54.8356,82.136
1063,5,,7.7885,28.0993,51.1215,50.7776,72.1809
1066,5,,,,,,115.2724
1158,5,,12.4915,37.5641,74.732,74.38,86.7125
1254,6,3.9254,10.7451,27.915,75.7954,75.6858,73.57
1257,6,,9.0643,35.9445,63.213,63.0949,76.0286
1317,1,,12.3347,50.657,105.3533,105.395,106.2924
1552,6,2.8656,12.8158,80.9282,85.1893,85.0674,85.4917
1829,4,2.8545,10.4483,68.2462,108.9287,108.8919,99.667
1853,4,4.9578,10.5374,49.8564,79.6002,79.5736,77.0271
1872,4,,12.3461,61.8322,92.6489,92.6315,85.6158
1890,3,4.2017,11.5856,52.8482,78.4474,78.1094,103.6193
1925,4,2.0435,12.6756,52.6466,99.616,99.5945,94.735
1954,4,6.8566,13.4537,56.5389,110.8601,110.8198,97.9302
2016,1,1.9646,10.4696,50.0302,73.3766,73.4197,79.9975
2171,4,1.722,14.9355,60.4188,92.5336,92.5094,84.3606
2202,1,1.7725,12.5921,64.2062,99.8379,99.8854,99.7591
2276,1,2.6311,12.8354,61.3676,87.6392,87.6672,85.1521
2278,4,2.0964,10.0683,37.8714,95.0843,95.0466,84.5976
2317,1,,9.5179,29.6257,57.1999,57.2297,79.2951
4779,0,2.2207,7.0647,27.0535,60.7086,60.6147,76.3443
4807,0,3.4472,14.8199,65.6139,97.5859,97.5011,87.181
4826,0,2.7528,8.9196,37.5699,61.3836,61.2866,67.7542
4884,0,4.5428,10.5293,35.5533,59.8827,59.7708,77.6819
4900,0,3.4061,8.4491,37.7857,60.6174,60.5159,78.367
4958,0,2.8895,12.5501,82.8824,110.2199,110.1211,98.4246
5023,0,3.3129,8.2611,26.8471,54.2226,54.1338,68.7747
5104,4,2.4682,4.2742,21.1703,51.0065,50.9773,65.5374
5151,1,,10.6828,56.7569,77.1715,77.2261,84.0719
5165,1,4.8005,14.5885,56.0086,85.121,85.1514,88.6288
5210,0,5.5338,12.7494,55.5796,88.1931,88.0963,103.129
5236,0,3.2465,6.9263,25.8289,53.9981,53.9039,66.326
5253,0,1.8186,4.7791,16.9467,48.5266,48.423,70.4561
5276,0,2.3054,8.6453,29.6781,60.1362,60.0448,81.8254
5349,0,4.7321,15.1389,57.6459,107.2882,107.1823,99.1202
5353,0,4.9912,9.7326,47.1338,72.6153,72.5185,78.3114
5486,4,1.8113,4.8854,21.6318,47.7829,47.7381,65.9964
5577,0,,7.3172,33.2942,61.3103,61.2062,74.2939
5644,0,4.2425,6.9024,24.1292,56.6773,56.5892,68.522
5720,1,3.3042,9.3181,38.6903,66.9254,66.9787,94.0666
5726,0,4.4021,8.0043,33.6812,58.4343,58.3454,81.3663
5741,0,3.8462,13.9188,64.4416,98.5924,98.5046,104.3273
5748,4,7.1621,7.0254,23.2558,52.0687,52.0476,66.4051
5757,1,4.4814,12.8179,35.7472,70.1349,70.181,89.7112
5768,1,,11.103,44.9164,88.3043,88.3425,98.1984
5772,1,5.7165,8.6994,31.2423,52.651,52.6968,69.2551
5779,0,8.6919,17.9115,42.5297,77.2519,77.1551,97.6776
5784,1,6.226,12.8825,42.1107,72.8276,72.8735,103.6962
5800,4,3.6205,5.9944,20.1916,49.444,49.4212,67.4103
5811,1,2.5403,8.0099,27.0507,49.7482,49.7947,74.4723
5822,1,4.8244,6.6459,,114.1257,114.1631,114.4712
5830,5,,7.3198,39.5066,62.1735,61.8298,85.718
