ID,population,days2anthesis,days2silk,asi
Z003E0001,3,80.0654,80.7722,0.7457
Z003E0002,3,81.4171,82.3289,0.68
Z003E0003,3,80.8677,82.8113,1.4464
Z003E0004,3,80.0617,81.6562,1.2979
Z003E0006,3,79.8856,82.412,1.4243
Z003E0007,3,77.4904,79.0633,1.4536
Z003E0008,3,79.7577,81.8649,1.6295
Z003E0009,3,75.0467,77.5756,1.7969
Z003E0010,3,77.6357,78.1425,0.6353
Z003E0011,3,77.0651,80.2774,2.3097
Z003E0012,3,78.2425,79.4033,0.9879
Z003E0013,3,80.6844,83.6128,2.1722
Z003E0014,3,76.4235,79.6246,2.572
Z003E0016,3,83.1124,84.1173,0.942
Z003E0017,3,80.246,81.3863,0.9282
Z003E0018,3,85.8822,87.1102,0.7957
Z003E0019,3,76.7506,78.5719,1.6493
Z003E0020,3,80.4501,83.7919,2.2982
Z003E0021,3,76.7736,78.8702,1.7322
Z003E0022,3,78.0506,79.4358,1.037
Z003E0023,3,83.703,88.0279,3.5234
Z003E0024,3,79.3492,81.474,1.6312
Z003E0026,3,77.7071,79.8825,1.4876
Z003E0027,3,79.4582,80.6543,0.5276
Z003E0028,3,89.2179,89.3196,1.6043
Z003E0029,3,80.1792,81.0879,1.1654
Z003E0030,3,86.2015,89.708,2.5005
Z003E0031,3,80.224,83.0515,1.9745
Z003E0032,3,82.6751,82.7128,0.2932
Z003E0033,3,81.7414,82.4795,0.38
Z003E0034,3,77.625,81.6036,3.8664
Z003E0035,3,78.0768,79.9247,1.3076
Z003E0036,3,77.1454,79.6907,1.9838
Z003E0037,3,80.1725,80.8663,0.9603
Z003E0038,3,81.2572,83.0704,1.5711
Z003E0039,3,80.2771,83.777,3.2191
Z003E0040,3,80.6159,82.3593,1.5685
Z003E0041,3,80.8193,84.8334,3.2559
Z003E0042,3,82.4924,84.0477,1.2602
Z003E0043,3,75.9797,77.426,1.2295
Z003E0044,3,82.8043,84.2523,0.9564
Z003E0045,3,79.919,81.3387,1.1634
Z003E0046,3,76.1596,77.1159,0.6618
Z003E0047,3,77.6132,81.4735,2.7534
Z003E0048,3,82.4757,85.9922,2.4858
Z003E0049,3,80.6501,82.7971,1.7527
Z003E0050,3,77.5659,80.0391,1.8196
Z003E0051,3,88.362,91.2292,2.6975
Z003E0052,3,77.6747,79.0479,0.7085
Z003E0053,3,78.5952,80.6679,1.6058
Z003E0054,3,83.0626,86.6803,2.7089
Z003E0055,3,81.6415,82.1377,0.4219
Z003E0056,3,79.3981,82.1114,1.8861
Z003E0057,3,84.1281,88.264,2.6904
Z003E0058,3,79.9403,80.5647,0.5781
Z003E0059,3,84.5569,87.0002,1.7779
Z003E0061,3,79.7916,81.1107,0.9027
Z003E0062,3,82.8076,86.4632,2.7067
Z003E0063,3,85.8474,86.1792,0.4859
Z003E0065,3,77.8068,79.9984,1.9307
Z003E0066,3,79.5159,81.4857,2.2608
Z003E0067,3,77.7166,79.9058,1.9472
Z003E0068,3,79.2232,81.5575,1.8202
Z003E0069,3,79.922,83.848,2.7816
Z003E0070,3,79.026,80.3432,1.0899
Z003E0071,3,79.8886,81.3069,1.184
Z003E0072,3,82.7885,83.0403,0.5895
Z003E0073,3,78.854,81.2884,1.6666
Z003E0074,3,80.5749,80.9744,0.3293
Z003E0075,3,81.4274,81.5549,0.3028
Z003E0076,3,80.8748,82.334,1.3175
Z003E0077,3,85.7649,85.6921,-0.1835
Z003E0078,3,81.8803,83.67,1.3611
Z003E0079,3,76.8003,79.4145,2.0375
Z003E0080,3,79.6681,81.0033,1.1241
