Chromosome	start	end	Name	asi
chr1	319	340	PZA02393.2	acen
chr1	871	884	PZA02763.1	acen
chr1	1033	1096	PZA00619.3	acen
chr1	1617	1630	PZB00063.1	acen
chr2	391	415	PZA01753.1	acen
chr2	821	834	PZA01321.1	acen
chr2	1225	1254	PZA00804.1	acen
chr2	1466	1525	PZA02170.1	acen
chr3	268	298	PZB01944.1	acen
chr3	547	560	zb21.1	acen
chr3	984	1008	PZA01228.2	acen
chr4	548	559	PZA01759.1	acen
chr4	830	876	PZA03275.4/1	acen
chr5	679	692	PZA00273.5	acen
chr5	945	990	PZA03172.3	acen
chr5	1235	1255	PZA02015.11	acen
chr6	20	65	PZA00158.2	acen
chr6	753	776	PZA00223.4	acen
chr6	935	954	PZA00889.2	acen
chr7	489	500	PZA02291.1	acen
chr7	738	762	PZA03728.1	acen
chr7	917	942	PHM112.8	acen
chr8	154	178	PZA00368.1	acen
chr8	636	646	PZA03637.1	acen
chr8	885	909	PZB00811.1	acen
chr8	1117	1187	PHM14046.9	acen
chr9	431	450	PZB00959.1	acen
chr9	639	654	PZA02397.1	acen
chr10	440	452	PZA01919.2	acen
