chromosome,start,end,name,colour,source,phenotype,population
chr3,7390000,8140000,3@77.8,acen,QTL,DTA,W22TIL01
chr3,11070000,12120000,3@115.8,acen,QTL,DTA,W22TIL01
chr3,15690000,16490000,3@160.7,acen,QTL,DTA,W22TIL01
chr4,10350000,11040000,4@105.6,acen,QTL,DTA,W22TIL01
chr5,2060000,2770000,5@23.5,acen,QTL,DTA,W22TIL01
chr6,6740000,7150000,6@70.1,acen,QTL,DTA,W22TIL01
chr8,6559999,7280000,8@67.6,acen,QTL,DTA,W22TIL01
chr10,5100000,5430000,10@53.1,acen,QTL,DTA,W22TIL01
chr1,380000,1610000,1@12.1,acen,QTL,DTA,W22TIL03
chr1,7730000,8180000,1@79.0,acen,QTL,DTA,W22TIL03
chr1,15030000,15469999,1@152.0,acen,QTL,DTA,W22TIL03
chr3,8480000,9110000,3@86.5,acen,QTL,DTA,W22TIL03
chr3,15870519,16330519,3@167.7,acen,QTL,DTA,W22TIL03
chr4,8810000,9270000,4@90.6,acen,QTL,DTA,W22TIL03
chr4,11120000,11660000,4@114.5,acen,QTL,DTA,W22TIL03
chr5,2930000,4780000,5@36.1,acen,QTL,DTA,W22TIL03
chr7,3460000,4310000,7@38.4,acen,QTL,DTA,W22TIL03
chr7,13261262,13981262,7@140.7,acen,QTL,DTA,W22TIL03
chr8,6900000,7300000,8@71.8,acen,QTL,DTA,W22TIL03
chr9,6950000,7600000,9@73.4,acen,QTL,DTA,W22TIL03
chr10,5270000,5590000,10@54.1,acen,QTL,DTA,W22TIL03
chr1,520000,1440000,1@10.7,acen,QTL,DTA,W22TIL11
chr1,5700000,6120000,1@59.7,acen,QTL,DTA,W22TIL11
chr1,12470000,13590000,1@130.5,acen,QTL,DTA,W22TIL11
chr2,819999,1789999,2@14.6,acen,QTL,DTA,W22TIL11
chr3,11770000,12400000,3@119.5,acen,QTL,DTA,W22TIL11
chr5,530000,1220000,5@8.1,acen,QTL,DTA,W22TIL11
chr5,7770000,8550000,5@80.4,acen,QTL,DTA,W22TIL11
chr8,6700000,7009999,8@68.5,acen,QTL,DTA,W22TIL11
chr9,6950000,7380000,9@70.8,acen,QTL,DTA,W22TIL11
chr10,5150000,5560000,10@54.5,acen,QTL,DTA,W22TIL11
chr1,90000,750000,1@3.3,acen,QTL,DTA,W22TIL14
chr1,7930000,8370000,1@81.8,acen,QTL,DTA,W22TIL14
chr2,5610000,6470000,2@60.3,acen,QTL,DTA,W22TIL14
chr3,12810000,13200000,3@129.6,acen,QTL,DTA,W22TIL14
chr5,1370000,1860000,5@15.9,acen,QTL,DTA,W22TIL14
chr6,3329999,3700000,6@35.5,acen,QTL,DTA,W22TIL14
chr6,9850000,10840000,6@104.6,acen,QTL,DTA,W22TIL14
chr7,11974117,12584116,7@129.3,acen,QTL,DTA,W22TIL14
chr8,6230000,7020000,8@66.0,acen,QTL,DTA,W22TIL14
chr10,5510000,5750000,10@56.3,acen,QTL,DTA,W22TIL14
chr1,14990000,15400000,1@151.7,acen,QTL,DTA,W22TIL25
chr3,8370000,10120000,3@86.9,acen,QTL,DTA,W22TIL25
chr5,460000,2910000,5@21.6,acen,QTL,DTA,W22TIL25
chr6,2370000,2690000,6@25.3,acen,QTL,DTA,W22TIL25
chr6,9210000,10120000,6@97.2,acen,QTL,DTA,W22TIL25
chr8,6230000,7220000,8@66.2,acen,QTL,DTA,W22TIL25
chr9,6830000,7690000,9@72.0,acen,QTL,DTA,W22TIL25
chr10,5140000,5560000,10@53.6,acen,QTL,DTA,W22TIL25
chr1,240000,1420000,S1_4358833,acen,QTL,DTA,all
chr1,7790000,8409999,S1_160123916,acen,QTL,DTA,all
chr1,15030000,15350000,S1_285078282,acen,QTL,DTA,all
chr2,4920000,5830000,S2_21514825,acen,QTL,DTA,all
chr2,12719999,13960000,S2_216847900,acen,QTL,DTA,all
chr3,8350000,9160000,S3_159799846,acen,QTL,DTA,all
