chromosome,start,end,population
1,0,30437233,all
2,0,19707492,all
3,0,23466642,all
4,0,18585004,all
5,0,26985280,all
1,0,30437233,0
2,0,19707492,0
3,0,23466642,0
4,0,18585004,0
5,0,26985280,0
1,0,30437233,1
2,0,19707492,1
3,0,23466642,1
4,0,18585004,1
5,0,26985280,1
1,0,30437233,2
2,0,19707492,2
3,0,23466642,2
4,0,18585004,2
5,0,26985280,2
1,0,30437233,3
2,0,19707492,3
3,0,23466642,3
4,0,18585004,3
5,0,26985280,3
1,0,30437233,4
2,0,19707492,4
3,0,23466642,4
4,0,18585004,4
5,0,26985280,4
1,0,30437233,5
2,0,19707492,5
3,0,23466642,5
4,0,18585004,5
5,0,26985280,5
1,0,30437233,6
2,0,19707492,6
3,0,23466642,6
4,0,18585004,6
5,0,26985280,6
1,0,30437233,7
2,0,19707492,7
3,0,23466642,7
4,0,18585004,7
5,0,26985280,7
1,0,30437233,8
2,0,19707492,8
3,0,23466642,8
4,0,18585004,8
5,0,26985280,8
1,0,30437233,9
2,0,19707492,9
3,0,23466642,9
4,0,18585004,9
5,0,26985280,9
