Chromosome	start	end_x	ZmGene	days2anthesis
chr8	1073	1233	VGT1	autonomous
chr1	1821	1841	D8	GA
chr1	1855	1875	KN1	GA
chr5	77	97	D9	GA
chr6	874	895	GA2ox1	GA
chr1	1895	1916	ZMM4	integrator
chr9	1128	1148	ZMM5	integrator
chr8	994	1014	ZmRAP2.7	integrator
chr10	963	984	ZFL1	integrator
chr4	638	658	ZCN2	integrator
chr2	1537	1557	ZAP1	integrator
chr2	76	96	ZFL2	integrator
chr7	6	26	ZAP1b	integrator
chr8	927	947	ZCN8	photoperiod
chr9	728	748	GL15	aging
chr3	36	56	miR156	aging
chr3	960	980	miR172	aging
