chromosome,start,end,name,colour,source,phenotype
1,184.2,186.2,PhyA1,transduction,leaf,days2anthesis
1,32.4,34.5,PhyB1,transduction,leaf,days2anthesis
1,189.4,191.4,PhyC1,transduction,leaf,days2anthesis
5,6.4,8.4,PhyA2,transduction,leaf,days2anthesis
5,4.3,6.3,PhyC2,transduction,leaf,days2anthesis
9,102.1,104.1,PhyB2,transduction,leaf,days2anthesis
8,121.1,123.1,ZmHy2,transduction_clock,leaf,days2anthesis
9,104.7,106.7,ZmPRR73,clock,leaf,days2anthesis
8,15,17,GIGZ1A,clock,leaf,days2anthesis
8,107.3,121.1,LUX_1,clock,leaf,days2anthesis
8,123.1,123.3,LUX_2,clock,leaf,days2anthesis
3,5.1,7.1,GIGZ1B,clock,leaf,days2anthesis
10,53.1,55.1,ZmCCA1,clock,leaf,days2anthesis
10,53.1,55.1,ZmLHY1,clock,leaf,days2anthesis
4,125,127,ZmFKF1a,clock,leaf,days2anthesis
4,17.8,89,ZmLHY2,clock,leaf,days2anthesis
4,84,86,ZmTOC1,clock,leaf,days2anthesis
2,150.4,152.4,ZmFKF1b,clock,leaf,days2anthesis
2,153.1,155.7,ZmHD6,clock,leaf,days2anthesis
9,26.7,28.7,COL1,photoperiod,leaf,days2anthesis
10,64.4,66.5,ZmCCT,photoperiod,leaf,days2anthesis
1,163.6,165.6,ID1,autonomous,leaf,days2anthesis
3,104,106,ZmLD,autonomous,leaf,days2anthesis
10,8.2,61.1,LDL1,autonomous,leaf,days2anthesis
2,99.2,123.5,FCA,autonomous,leaf,days2anthesis
7,132,133,DLF1,clock,leaf,days2anthesis
7,133,135,DLF1,integrator_clock,leaf,days2anthesis
8,92.7,94.7,ZCN8,photoperiod,leaf,days2anthesis
9,72.8,74.8,GL15,aging,leaf,days2anthesis
3,3.6,5.6,miR156,aging,leaf,days2anthesis
3,96,98,miR172,aging,leaf,days2anthesis
8,107.3,123.3,VGT1,autonomous,SAM,days2anthesis
1,182.1,184.1,D8,GA,SAM,days2anthesis
1,185.5,187.5,KN1,GA,SAM,days2anthesis
5,7.7,9.7,D9,GA,SAM,days2anthesis
6,87.4,89.5,GA2ox1,GA,SAM,days2anthesis
1,189.5,191.6,ZMM4,integrator,SAM,days2anthesis
9,112.8,114.8,ZMM5,integrator,SAM,days2anthesis
8,99.4,101.4,ZmRAP2.7,integrator,SAM,days2anthesis
10,96.3,98.4,ZFL1,integrator,SAM,days2anthesis
4,63.8,65.8,ZCN2,integrator,SAM,days2anthesis
2,153.7,155.7,ZAP1,integrator,SAM,days2anthesis
2,7.6,9.6,ZFL2,integrator,SAM,days2anthesis
7,0.6,2.6,ZAP1b,integrator,SAM,days2anthesis
8,92.7,94.7,ZCN8,photoperiod,SAM,days2anthesis
9,72.8,74.8,GL15,aging,SAM,days2anthesis
3,3.6,5.6,miR156,aging,SAM,days2anthesis
3,96,98,miR172,aging,SAM,days2anthesis
1,14,16.1,PZA00181.2,acen,QTL,days2anthesis
1,35.5,39,PZA00425.11,acen,QTL,days2anthesis
1,60.3,61.3,PZA03742.1,acen,QTL,days2anthesis
1,84.2,85.4,PZA03465.1,acen,QTL,days2anthesis
1,103.3,109.6,PZA00619.3,acen,QTL,days2anthesis
1,137.1,139.3,PZB01647.1,acen,QTL,days2anthesis
1,180.6,182.1,PZA03037.2,acen,QTL,days2anthesis
2,32.5,37.9,zfl2.9,acen,QTL,days2anthesis
2,73.6,75.3,PHM3457.6,acen,QTL,days2anthesis
2,106.3,107.8,PZA02731.1,acen,QTL,days2anthesis
2,126.1,127.8,PZA02471.5,acen,QTL,days2anthesis
3,50.6,53.2,PZA02427.1,acen,QTL,days2anthesis
3,59.6,61.1,PZA03198.3,acen,QTL,days2anthesis
3,71.2,74.1,PHM9914.11,acen,QTL,days2anthesis
3,104,106.1,PZA02122.9,acen,QTL,days2anthesis
3,121.8,126.3,PZB01457.1,acen,QTL,days2anthesis
3,138.2,143.3,PZA00402.1,acen,QTL,days2anthesis
4,54.8,55.9,PZA01759.1,acen,QTL,days2anthesis
4,115.1,117.7,PZA00694.6,acen,QTL,days2anthesis
5,4.8,8.6,PZA01438.1,acen,QTL,days2anthesis
5,69.5,71.1,PZA02164.16,acen,QTL,days2anthesis
5,124.5,126.3,PZA03167.5,acen,QTL,days2anthesis
6,10.3,11.6,PZA00355.2,acen,QTL,days2anthesis
6,70.8,74.1,PZA01462.1,acen,QTL,days2anthesis
6,95.5,97.3,PZA02688.2,acen,QTL,days2anthesis
7,44.2,45.7,PZA03624.1,acen,QTL,days2anthesis
7,73.8,76.2,PZA03728.1,acen,QTL,days2anthesis
7,127,134.5,PZA01744.1,acen,QTL,days2anthesis
8,57,58.1,PZA00908.2,acen,QTL,days2anthesis
8,65,67.5,PZB02155.1,acen,QTL,days2anthesis
8,89.9,92.1,PZA00675.1,acen,QTL,days2anthesis
9,44.4,45.7,PZA02878.13,acen,QTL,days2anthesis
9,59.5,62.6,PZA00840.1,acen,QTL,days2anthesis
9,87.9,89.4,PZA00323.3,acen,QTL,days2anthesis
10,41.9,43.4,PZA00048.1,acen,QTL,days2anthesis
10,80.9,82.3,PZA02049.1,acen,QTL,days2anthesis
1,35.5,39,PZA00425.11,acen,QTL,days2silk
1,60.3,61.3,PZA03742.1,acen,QTL,days2silk
1,83,85.2,PZA03240.1/2,acen,QTL,days2silk
1,111.9,116.1,PZA03074.27,acen,QTL,days2silk
1,137.1,139.3,PZB01647.1,acen,QTL,days2silk
1,177.9,179.3,PZA02087.2,acen,QTL,days2silk
2,39.1,41.5,PZA01753.1,acen,QTL,days2silk
2,62.1,64,PZA02058.1,acen,QTL,days2silk
2,73.6,75.3,PHM3457.6,acen,QTL,days2silk
2,104,106.2,PZA00824.2,acen,QTL,days2silk
2,126.1,127.8,PZA02471.5,acen,QTL,days2silk
3,31.2,36.5,PZA01765.1,acen,QTL,days2silk
3,54.7,56,zb21.1,acen,QTL,days2silk
3,71.2,74.1,PHM9914.11,acen,QTL,days2silk
3,102.9,104.3,PZA00308.24,acen,QTL,days2silk
3,125.3,128.5,PZA03146.4,acen,QTL,days2silk
4,39.3,42.6,PHM8527.2,acen,QTL,days2silk
4,72,76.2,PZA03116.1,acen,QTL,days2silk
4,103.4,105.7,PHM4348.16,acen,QTL,days2silk
5,4.8,8.6,PZA01438.1,acen,QTL,days2silk
5,62.3,63.5,PHM1870.20,acen,QTL,days2silk
5,75.7,78.1,PZA00148.3,acen,QTL,days2silk
5,105.8,107.2,PZA03024.16,acen,QTL,days2silk
5,126.3,130.4,PZA01680.3,acen,QTL,days2silk
6,5.5,7.5,PZA03047.12,acen,QTL,days2silk
6,24.4,28.7,PZA00942.2,acen,QTL,days2silk
6,76.6,82.9,PHM4748.16,acen,QTL,days2silk
6,106.9,108.7,PZA01875.1,acen,QTL,days2silk
7,46.3,48.4,PHM15501.9,acen,QTL,days2silk
7,63.2,64.8,PZA00986.1,acen,QTL,days2silk
7,80.6,85.8,PZA02722.1,acen,QTL,days2silk
7,133.7,135,PZA01044.1,acen,QTL,days2silk
8,17.4,20,PHM4711.14,acen,QTL,days2silk
8,65,67.5,PZB02155.1,acen,QTL,days2silk
8,91.1,93.6,PHM1834.47,acen,QTL,days2silk
9,43.1,45,PZB00959.1,acen,QTL,days2silk
9,61.6,63,PZA00060.2,acen,QTL,days2silk
10,41.9,43.4,PZA00048.1,acen,QTL,days2silk
10,87.6,91.6,PZA01001.2,acen,QTL,days2silk
1,31.9,34,PZA02393.2,acen,QTL,asi
1,87.1,88.4,PZA02763.1,acen,QTL,asi
1,103.3,109.6,PZA00619.3,acen,QTL,asi
1,161.7,163,PZB00063.1,acen,QTL,asi
2,39.1,41.5,PZA01753.1,acen,QTL,asi
2,82.1,83.4,PZA01321.1,acen,QTL,asi
2,122.5,125.4,PZA00804.1,acen,QTL,asi
2,146.6,152.5,PZA02170.1,acen,QTL,asi
3,26.8,29.8,PZB01944.1,acen,QTL,asi
3,54.7,56,zb21.1,acen,QTL,asi
3,98.4,100.8,PZA01228.2,acen,QTL,asi
4,54.8,55.9,PZA01759.1,acen,QTL,asi
4,83,87.6,PZA03275.4/1,acen,QTL,asi
5,67.9,69.2,PZA00273.5,acen,QTL,asi
5,94.5,99,PZA03172.3,acen,QTL,asi
5,123.5,125.5,PZA02015.11,acen,QTL,asi
6,2,6.5,PZA00158.2,acen,QTL,asi
6,75.3,77.6,PZA00223.4,acen,QTL,asi
6,93.5,95.4,PZA00889.2,acen,QTL,asi
7,48.9,50,PZA02291.1,acen,QTL,asi
7,73.8,76.2,PZA03728.1,acen,QTL,asi
7,91.7,94.2,PHM112.8,acen,QTL,asi
8,15.4,17.8,PZA00368.1,acen,QTL,asi
8,63.6,64.6,PZA03637.1,acen,QTL,asi
8,88.5,90.9,PZB00811.1,acen,QTL,asi
8,111.7,118.7,PHM14046.9,acen,QTL,asi
9,43.1,45,PZB00959.1,acen,QTL,asi
9,63.9,65.4,PZA02397.1,acen,QTL,asi
10,44,45.2,PZA01919.2,acen,QTL,asi
1,89.4,89.5,1,acen,wisser_et_al,days2anthesis
1,135.4,137.7,2,acen,wisser_et_al,days2anthesis
1,160.5,162.4,3,acen,wisser_et_al,days2anthesis
2,73.5,73.7,4,acen,wisser_et_al,days2anthesis
2,82.5,82.5,5,acen,wisser_et_al,days2anthesis
2,109.3,110.7,6,acen,wisser_et_al,days2anthesis
3,59,59.2,7,acen,wisser_et_al,days2anthesis
4,51.1,52.1,8,acen,wisser_et_al,days2anthesis
4,57.8,58,9,acen,wisser_et_al,days2anthesis
4,98.4,102.3,10,acen,wisser_et_al,days2anthesis
4,114.3,114.6,11,acen,wisser_et_al,days2anthesis
5,64.5,65.3,12,acen,wisser_et_al,days2anthesis
5,68.4,69.2,13,acen,wisser_et_al,days2anthesis
5,70.5,70.6,14,acen,wisser_et_al,days2anthesis
5,70.9,71.2,15,acen,wisser_et_al,days2anthesis
5,71.8,72.2,16,acen,wisser_et_al,days2anthesis
5,72.4,72.9,17,acen,wisser_et_al,days2anthesis
6,51.9,52.5,18,acen,wisser_et_al,days2anthesis
7,80.6,82.7,19,acen,wisser_et_al,days2anthesis
8,45.4,50,20,acen,wisser_et_al,days2anthesis
9,43,43.4,21,acen,wisser_et_al,days2anthesis
9,43.5,44.2,22,acen,wisser_et_al,days2anthesis
9,45.2,46.5,23,acen,wisser_et_al,days2anthesis
9,49.9,50.4,24,acen,wisser_et_al,days2anthesis
9,54.1,59.3,25,acen,wisser_et_al,days2anthesis
10,37.4,37.7,26,acen,wisser_et_al,days2anthesis
10,39.3,39.3,27,acen,wisser_et_al,days2anthesis
10,40.9,41.2,28,acen,wisser_et_al,days2anthesis
10,59.1,61.3,29,acen,wisser_et_al,days2anthesis
