Chromosome	start	end	Name	colour
chr1	894	895	1	acen
chr1	1354	1377	2	acen
chr1	1605	1624	3	acen
chr2	735	737	4	acen
chr2	825	825	5	acen
chr2	1093	1107	6	acen
chr3	590	592	7	acen
chr4	511	521	8	acen
chr4	578	580	9	acen
chr4	984	1023	10	acen
chr4	1143	1146	11	acen
chr5	645	653	12	acen
chr5	684	692	13	acen
chr5	705	706	14	acen
chr5	709	712	15	acen
chr5	718	722	16	acen
chr5	724	729	17	acen
chr6	519	525	18	acen
chr7	806	827	19	acen
chr8	454	500	20	acen
chr9	430	434	21	acen
chr9	435	442	22	acen
chr9	452	465	23	acen
chr9	499	504	24	acen
chr9	541	593	25	acen
chr10	374	377	26	acen
chr10	393	393	27	acen
chr10	409	412	28	acen
chr10	591	613	29	acen
