Chromosome	start	end	Name	colour
chr1	8949000	8951000	1	acen
chr1	13540000	13775000	2	acen
chr1	16053000	16240000	3	acen
chr2	7353000	7370999	4	acen
chr2	8251000	8259000	5	acen
chr2	10933000	11076000	6	acen
chr3	5900000	5927000	7	acen
chr4	5119000	5215000	8	acen
chr4	5785000	5808000	9	acen
chr4	9849000	10235000	10	acen
chr4	11431000	11466000	11	acen
chr5	6455000	6531999	12	acen
chr5	6844000	6927000	13	acen
chr5	7052000	7062000	14	acen
chr5	7094000	7122000	15	acen
chr5	7181000	7220000	16	acen
chr5	7248999	7291000	17	acen
chr6	5193000	5259000	18	acen
chr7	8064000	8270000	19	acen
chr8	4541000	5004000	20	acen
chr9	4300000	4340000	21	acen
chr9	4357000	4423000	22	acen
chr9	4523000	4653000	23	acen
chr9	4990000	5049000	24	acen
chr9	5417000	5938000	25	acen
chr10	3746000	3774000	26	acen
chr10	3932000	3934000	27	acen
chr10	4097999	4125000	28	acen
chr10	5914000	6132000	29	acen
