Chromosome	start	end	Name	days2silk
chr1	355	390	PZA00425.11	acen
chr1	603	613	PZA03742.1	acen
chr1	830	852	PZA03240.1/2	acen
chr1	1119	1161	PZA03074.27	acen
chr1	1371	1393	PZB01647.1	acen
chr1	1779	1793	PZA02087.2	acen
chr2	391	415	PZA01753.1	acen
chr2	621	640	PZA02058.1	acen
chr2	736	753	PHM3457.6	acen
chr2	1040	1062	PZA00824.2	acen
chr2	1261	1278	PZA02471.5	acen
chr3	312	365	PZA01765.1	acen
chr3	547	560	zb21.1	acen
chr3	712	741	PHM9914.11	acen
chr3	1029	1043	PZA00308.24	acen
chr3	1253	1285	PZA03146.4	acen
chr4	393	426	PHM8527.2	acen
chr4	720	762	PZA03116.1	acen
chr4	1034	1057	PHM4348.16	acen
chr5	48	86	PZA01438.1	acen
chr5	623	635	PHM1870.20	acen
chr5	757	781	PZA00148.3	acen
chr5	1058	1072	PZA03024.16	acen
chr5	1263	1304	PZA01680.3	acen
chr6	55	75	PZA03047.12	acen
chr6	244	287	PZA00942.2	acen
chr6	766	829	PHM4748.16	acen
chr6	1069	1087	PZA01875.1	acen
chr7	463	484	PHM15501.9	acen
chr7	632	648	PZA00986.1	acen
chr7	806	858	PZA02722.1	acen
chr7	1337	1350	PZA01044.1	acen
chr8	174	200	PHM4711.14	acen
chr8	650	675	PZB02155.1	acen
chr8	911	936	PHM1834.47	acen
chr9	431	450	PZB00959.1	acen
chr9	616	630	PZA00060.2	acen
chr10	419	434	PZA00048.1	acen
chr10	876	916	PZA01001.2	acen
