chromosome,start,end,population
1,0,2025,1
2,0,1561,1
3,0,1559,1
4,0,1418,1
5,0,1535,1
6,0,1104,1
7,0,1353,1
8,0,1305,1
9,0,1184,1
10,0,1060,1
1,0,2025,2
2,0,1561,2
3,0,1559,2
4,0,1418,2
5,0,1535,2
6,0,1104,2
7,0,1353,2
8,0,1305,2
9,0,1184,2
10,0,1060,2
1,0,2025,3
2,0,1561,3
3,0,1559,3
4,0,1418,3
5,0,1535,3
6,0,1104,3
7,0,1353,3
8,0,1305,3
9,0,1184,3
10,0,1060,3
1,0,2025,4
2,0,1561,4
3,0,1559,4
4,0,1418,4
5,0,1535,4
6,0,1104,4
7,0,1353,4
8,0,1305,4
9,0,1184,4
10,0,1060,4
1,0,2025,5
2,0,1561,5
3,0,1559,5
4,0,1418,5
5,0,1535,5
6,0,1104,5
7,0,1353,5
8,0,1305,5
9,0,1184,5
10,0,1060,5
1,0,2025,6
2,0,1561,6
3,0,1559,6
4,0,1418,6
5,0,1535,6
6,0,1104,6
7,0,1353,6
8,0,1305,6
9,0,1184,6
10,0,1060,6
1,0,2025,7
2,0,1561,7
3,0,1559,7
4,0,1418,7
5,0,1535,7
6,0,1104,7
7,0,1353,7
8,0,1305,7
9,0,1184,7
10,0,1060,7
1,0,2025,8
2,0,1561,8
3,0,1559,8
4,0,1418,8
5,0,1535,8
6,0,1104,8
7,0,1353,8
8,0,1305,8
9,0,1184,8
10,0,1060,8
1,0,2025,9
2,0,1561,9
3,0,1559,9
4,0,1418,9
5,0,1535,9
6,0,1104,9
7,0,1353,9
8,0,1305,9
9,0,1184,9
10,0,1060,9
1,0,2025,10
2,0,1561,10
3,0,1559,10
4,0,1418,10
5,0,1535,10
6,0,1104,10
7,0,1353,10
8,0,1305,10
9,0,1184,10
10,0,1060,10
1,0,2025,11
2,0,1561,11
3,0,1559,11
4,0,1418,11
5,0,1535,11
6,0,1104,11
7,0,1353,11
8,0,1305,11
9,0,1184,11
10,0,1060,11
1,0,2025,12
2,0,1561,12
3,0,1559,12
4,0,1418,12
5,0,1535,12
6,0,1104,12
7,0,1353,12
8,0,1305,12
9,0,1184,12
10,0,1060,12
1,0,2025,13
2,0,1561,13
3,0,1559,13
4,0,1418,13
5,0,1535,13
6,0,1104,13
7,0,1353,13
8,0,1305,13
9,0,1184,13
10,0,1060,13
1,0,2025,14
2,0,1561,14
3,0,1559,14
4,0,1418,14
5,0,1535,14
6,0,1104,14
7,0,1353,14
8,0,1305,14
9,0,1184,14
10,0,1060,14
1,0,2025,15
2,0,1561,15
3,0,1559,15
4,0,1418,15
5,0,1535,15
6,0,1104,15
7,0,1353,15
8,0,1305,15
9,0,1184,15
10,0,1060,15
1,0,2025,16
2,0,1561,16
3,0,1559,16
4,0,1418,16
5,0,1535,16
6,0,1104,16
7,0,1353,16
8,0,1305,16
9,0,1184,16
10,0,1060,16
1,0,2025,18
2,0,1561,18
3,0,1559,18
4,0,1418,18
5,0,1535,18
6,0,1104,18
7,0,1353,18
8,0,1305,18
9,0,1184,18
10,0,1060,18
1,0,2025,19
2,0,1561,19
3,0,1559,19
4,0,1418,19
5,0,1535,19
6,0,1104,19
7,0,1353,19
8,0,1305,19
9,0,1184,19
10,0,1060,19
1,0,2025,20
2,0,1561,20
3,0,1559,20
4,0,1418,20
5,0,1535,20
6,0,1104,20
7,0,1353,20
8,0,1305,20
9,0,1184,20
10,0,1060,20
1,0,2025,21
2,0,1561,21
3,0,1559,21
4,0,1418,21
5,0,1535,21
6,0,1104,21
7,0,1353,21
8,0,1305,21
9,0,1184,21
10,0,1060,21
1,0,2025,22
2,0,1561,22
3,0,1559,22
4,0,1418,22
5,0,1535,22
6,0,1104,22
7,0,1353,22
8,0,1305,22
9,0,1184,22
10,0,1060,22
1,0,2025,23
2,0,1561,23
3,0,1559,23
4,0,1418,23
5,0,1535,23
6,0,1104,23
7,0,1353,23
8,0,1305,23
9,0,1184,23
10,0,1060,23
1,0,2025,24
2,0,1561,24
3,0,1559,24
4,0,1418,24
5,0,1535,24
6,0,1104,24
7,0,1353,24
8,0,1305,24
9,0,1184,24
10,0,1060,24
1,0,2025,25
2,0,1561,25
3,0,1559,25
4,0,1418,25
5,0,1535,25
6,0,1104,25
7,0,1353,25
8,0,1305,25
9,0,1184,25
10,0,1060,25
1,0,2025,26
2,0,1561,26
3,0,1559,26
4,0,1418,26
5,0,1535,26
6,0,1104,26
7,0,1353,26
8,0,1305,26
9,0,1184,26
10,0,1060,26
1,0,2025,all
2,0,1561,all
3,0,1559,all
4,0,1418,all
5,0,1535,all
6,0,1104,all
7,0,1353,all
8,0,1305,all
9,0,1184,all
10,0,1060,all
