chromosome,name,start,end
1,S1_10045,0,0
1,S1_128373,0,0
1,S1_644637,0,0
1,S1_1001395,0,0
1,S1_1005413,0,0
1,S1_1195734,0,0
1,S1_1568364,0,0
1,S1_1666173,0,0
1,S1_1763337,0,0
1,S1_1780412,0,4329
1,S1_1782554,4329,12994
1,S1_1880827,12994,21670
1,S1_1957407,21670,26013
1,S1_2307256,26013,37430
1,S1_2467301,37430,71741
1,S1_2470513,71741,94640
1,S1_2537420,94640,98154
1,S1_2537494,98154,105198
1,S1_2544060,105198,112283
1,S1_2691818,112283,115834
1,S1_2691995,115834,115834
1,S1_2693676,115834,115834
1,S1_2693860,115834,115836
1,S1_3029139,115836,126306
1,S1_3078487,126306,147307
1,S1_3079131,147307,157843
1,S1_3081602,157843,163202
1,S1_3081692,163202,173873
1,S1_3131760,173873,179189
1,S1_3131841,179189,182721
1,S1_3136209,182721,189763
1,S1_3179316,189763,196768
1,S1_3179466,196768,220907
1,S1_3197122,220907,241554
1,S1_3409290,241554,251850
1,S1_3439736,251850,265574
1,S1_3440004,265574,272426
1,S1_3468707,272426,279266
1,S1_3468813,279266,282686
1,S1_3666927,282686,287915
1,S1_3702509,287915,298410
1,S1_3703021,298410,303680
1,S1_3708430,303680,308877
1,S1_3708690,308877,319233
1,S1_3710900,319233,324397
1,S1_3735219,324397,328942
1,S1_3736016,328942,338009
1,S1_3736125,338009,347033
1,S1_3739506,347033,351534
1,S1_3739759,351534,351538
1,S1_3742398,351538,378415
1,S1_3830498,378415,405292
1,S1_3886280,405292,405296
1,S1_4040810,405296,408565
1,S1_4041107,408565,415093
1,S1_4042975,415093,421612
1,S1_4045332,421612,424871
1,S1_4069263,424871,428199
1,S1_4133029,428199,434866
1,S1_4153225,434866,441568
1,S1_4163141,441568,444930
1,S1_4173235,444930,444935
1,S1_4187083,444935,444939
1,S1_4358833,444939,471955
1,S1_4445292,471955,498970
1,S1_4446759,498970,506097
1,S1_4453183,506097,520404
1,S1_4453277,520404,527591
1,S1_4511706,527591,527600
1,S1_4512687,527600,527607
1,S1_4512876,527607,531029
1,S1_4519305,531029,537856
1,S1_4544708,537856,544655
1,S1_4545495,544655,548050
1,S1_4547866,548050,553189
1,S1_4548765,553189,563425
1,S1_4555422,563425,568525
1,S1_4555579,568525,578493
1,S1_4557453,578493,588462
1,S1_4592927,588462,588466
1,S1_4598476,588466,608489
1,S1_4599469,608489,628512
1,S1_4600196,628512,628516
1,S1_4601710,628516,628520
1,S1_4606320,628520,635514
1,S1_4608045,635514,649560
1,S1_4609633,649560,663739
1,S1_4715771,663739,670866
1,S1_4748718,670866,670870
1,S1_4748996,670870,670874
1,S1_4749464,670874,691670
1,S1_4752121,691670,733258
1,S1_4752922,733258,754054
1,S1_4753039,754054,757557
1,S1_4754720,757557,764539
1,S1_4766227,764539,771485
1,S1_4766734,771485,774951
1,S1_4979298,774951,778416
1,S1_4988831,778416,785362
1,S1_4990722,785362,792344
1,S1_4995427,792344,795847
1,S1_4996452,795847,801073
1,S1_4996616,801073,811478
1,S1_4998727,811478,816660
1,S1_5007050,816660,826872
1,S1_5010040,826872,837085
1,S1_5045866,837085,842199
1,S1_5046342,842199,852431
1,S1_5055764,852431,857554
1,S1_5245709,857554,867916
1,S1_5328409,867916,878277
1,S1_5348159,878277,883547
1,S1_5388402,883547,894042
1,S1_5432380,894042,899271
1,S1_5533209,899271,899278
1,S1_5538280,899278,899295
1,S1_5539764,899295,920672
1,S1_5588902,920672,999241
1,S1_5625124,999241,1056447
1,S1_5625242,1056447,1056451
1,S1_5627905,1056451,1056456
1,S1_5629244,1056456,1071497
1,S1_5636343,1071497,1086539
1,S1_5653111,1086539,1116118
1,S1_5722868,1116118,1145700
1,S1_5744500,1145700,1145710
1,S1_5745514,1145710,1145717
1,S1_5746111,1145717,1145722
1,S1_5747307,1145722,1145726
1,S1_5748340,1145726,1156798
1,S1_5811180,1156798,1167871
1,S1_6217930,1167871,1171647
1,S1_6233919,1171647,1179170
1,S1_6234560,1179170,1186646
1,S1_6234661,1186646,1190375
1,S1_6429469,1190375,1201303
1,S1_6431197,1201303,1212231
1,S1_6851707,1212231,1217666
1,S1_6921421,1217666,1228520
1,S1_6921968,1228520,1233943
1,S1_6926817,1233943,1237551
1,S1_6926992,1237551,1244758
1,S1_7041676,1244758,1251956
1,S1_7041917,1251956,1261055
1,S1_7046074,1261055,1272105
1,S1_7071221,1272105,1288723
1,S1_7077252,1288723,1299795
1,S1_7084495,1299795,1305366
1,S1_7084877,1305366,1316515
1,S1_7086681,1316515,1322097
1,S1_7356432,1322097,1333195
1,S1_7389130,1333195,1344293
1,S1_7397706,1344293,1355196
1,S1_7400706,1355196,1366100
1,S1_7490302,1366100,1371556
1,S1_7490633,1371556,1382415
1,S1_7569164,1382415,1387823
1,S1_8136850,1387823,1387827
1,S1_8137063,1387827,1387831
1,S1_8147291,1387831,1387836
1,S1_8147670,1387836,1420090
1,S1_8271524,1420090,1452344
1,S1_8287712,1452344,1463036
1,S1_8352063,1463036,1473728
1,S1_8451520,1473728,1506128
1,S1_8459890,1506128,1538528
1,S1_8460346,1538528,1538532
1,S1_8625185,1538532,1538537
1,S1_8628074,1538537,1549345
1,S1_8628184,1549345,1570887
1,S1_8631700,1570887,1581625
1,S1_8634454,1581625,1581629
1,S1_8635571,1581629,1592141
1,S1_8656801,1592141,1602654
1,S1_8657518,1602654,1613232
1,S1_8882564,1613232,1623811
1,S1_8979420,1623811,1634551
1,S1_9052454,1634551,1645292
1,S1_9058931,1645292,1656032
1,S1_9123414,1656032,1666772
1,S1_9124308,1666772,1666777
1,S1_9125300,1666777,1688452
1,S1_9168521,1688452,1710128
1,S1_9191778,1710128,1710132
1,S1_9191949,1710132,1715554
1,S1_9215990,1715554,1726358
1,S1_9217135,1726358,1731745
1,S1_9437184,1731745,1742602
1,S1_9499458,1742602,1753458
1,S1_9580160,1753458,1753463
1,S1_9580795,1753463,1753470
1,S1_9580960,1753470,1786511
1,S1_9807822,1786511,1819550
1,S1_9808366,1819550,1819554
1,S1_10036994,1819554,1841516
1,S1_10222600,1841516,1863478
1,S1_10361742,1863478,1863483
1,S1_10361873,1863483,1863487
1,S1_10436215,1863487,1885695
1,S1_10512615,1885695,1907902
1,S1_10584153,1907902,1916414
1,S1_10584231,1916414,1933434
1,S1_10592626,1933434,1947611
1,S1_10694431,1947611,1958975
1,S1_10820486,1958975,1970422
1,S1_10821114,1970422,1976172
1,S1_10821230,1976172,1976176
1,S1_10827206,1976176,1999206
1,S1_10900223,1999206,2022237
1,S1_10960646,2022237,2022241
1,S1_10960811,2022241,2028161
1,S1_10961069,2028161,2040053
1,S1_10969971,2040053,2046030
1,S1_10970425,2046030,2049962
1,S1_10970956,2049962,2057815
1,S1_10975291,2057815,2065654
1,S1_10978004,2065654,2069572
1,S1_10982771,2069572,2073564
1,S1_10988596,2073564,2081518
1,S1_10989294,2081518,2089421
1,S1_10995471,2089421,2093362
1,S1_10996677,2093362,2093367
