Chromosome	start	end_x	ZmGene	days2anthesis
chr1	1842	1862	PhyA1	transduction
chr1	324	345	PhyB1	transduction
chr1	1894	1914	PhyC1	transduction
chr5	64	84	PhyA2	transduction
chr5	43	63	PhyC2	transduction
chr9	1021	1041	PhyB2	transduction
chr8	1211	1231	ZmHy2	transduction_clock
chr9	1047	1067	ZmPRR73	clock
chr8	150	170	GIGZ1A	clock
chr8	1073	1211	LUX_1	clock
chr8	1231	1233	LUX_2	clock
chr3	51	71	GIGZ1B	clock
chr10	531	551	ZmCCA1	clock
chr10	531	551	ZmLHY1	clock
chr4	1250	1270	ZmFKF1a	clock
chr4	178	890	ZmLHY2	clock
chr4	840	860	ZmTOC1	clock
chr2	1504	1524	ZmFKF1b	clock
chr2	1531	1557	ZmHD6	clock
chr9	267	287	COL1	photoperiod
chr10	644	665	ZmCCT	photoperiod
chr1	1636	1656	ID1	autonomous
chr3	1040	1060	ZmLD	autonomous
chr10	82	611	LDL1	autonomous
chr2	992	1235	FCA	autonomous
chr7	1320	1330	DLF1	clock
chr7	1330	1350	DLF1	integrator_clock
chr8	927	947	ZCN8	photoperiod
chr9	728	748	GL15	aging
chr3	36	56	miR156	aging
chr3	960	980	miR172	aging
