chromosome,start,end,population
1,0,172.83296,W22TIL01
2,0,173.40444,W22TIL01
3,0,165.29572,W22TIL01
4,0,124.95638,W22TIL01
5,0,170.36504,W22TIL01
6,0,120.39281,W22TIL01
7,0,137.44864,W22TIL01
8,0,140.07309,W22TIL01
9,0,146.23914,W22TIL01
10,0,108.35639,W22TIL01
1,0,215.36536,W22TIL03
2,0,181.30498,W22TIL03
3,0,163.30519,W22TIL03
4,0,167.0217,W22TIL03
5,0,184.57385,W22TIL03
6,0,126.23372,W22TIL03
7,0,139.81262,W22TIL03
8,0,155.65377,W22TIL03
9,0,146.64753,W22TIL03
10,0,121.34296,W22TIL03
1,0,163.16508,W22TIL11
2,0,158.50879,W22TIL11
3,0,166.79553,W22TIL11
4,0,142.36705,W22TIL11
5,0,158.56152,W22TIL11
6,0,115.48051,W22TIL11
7,0,134.94303,W22TIL11
8,0,123.88673,W22TIL11
9,0,128.52602,W22TIL11
10,0,106.78913,W22TIL11
1,0,173.16115,W22TIL14
2,0,153.10139,W22TIL14
3,0,149.87806,W22TIL14
4,0,151.73063,W22TIL14
5,0,141.58343,W22TIL14
6,0,117.25243,W22TIL14
7,0,125.84116,W22TIL14
8,0,129.40622,W22TIL14
9,0,117.10703,W22TIL14
10,0,94.73739,W22TIL14
1,0,164.55479,W22TIL25
2,0,182.28483,W22TIL25
3,0,181.51653,W22TIL25
4,0,163.0615,W22TIL25
5,0,159.18264,W22TIL25
6,0,126.37252,W22TIL25
7,0,145.31891,W22TIL25
8,0,137.70417,W22TIL25
9,0,148.52771,W22TIL25
10,0,115.72695,W22TIL25
1,0,215.36536,all
2,0,182.28483,all
3,0,181.67986,all
4,0,167.0217,all
5,0,184.57385,all
6,0,126.37252,all
7,0,145.31891,all
8,0,155.65377,all
9,0,148.52771,all
10,0,121.34296,all
