Chromosome	start	end	Name	days2anthesis
chr1	140	161	PZA00181.2	acen
chr1	355	390	PZA00425.11	acen
chr1	603	613	PZA03742.1	acen
chr1	842	854	PZA03465.1	acen
chr1	1033	1096	PZA00619.3	acen
chr1	1371	1393	PZB01647.1	acen
chr1	1806	1821	PZA03037.2	acen
chr2	325	379	zfl2.9	acen
chr2	736	753	PHM3457.6	acen
chr2	1063	1078	PZA02731.1	acen
chr2	1261	1278	PZA02471.5	acen
chr3	506	532	PZA02427.1	acen
chr3	596	611	PZA03198.3	acen
chr3	712	741	PHM9914.11	acen
chr3	1040	1061	PZA02122.9	acen
chr3	1218	1263	PZB01457.1	acen
chr3	1382	1433	PZA00402.1	acen
chr4	548	559	PZA01759.1	acen
chr4	1151	1177	PZA00694.6	acen
chr5	48	86	PZA01438.1	acen
chr5	695	711	PZA02164.16	acen
chr5	1245	1263	PZA03167.5	acen
chr6	103	116	PZA00355.2	acen
chr6	708	741	PZA01462.1	acen
chr6	955	973	PZA02688.2	acen
chr7	442	457	PZA03624.1	acen
chr7	738	762	PZA03728.1	acen
chr7	1270	1345	PZA01744.1	acen
chr8	570	581	PZA00908.2	acen
chr8	650	675	PZB02155.1	acen
chr8	899	921	PZA00675.1	acen
chr9	444	457	PZA02878.13	acen
chr9	595	626	PZA00840.1	acen
chr9	879	894	PZA00323.3	acen
chr10	419	434	PZA00048.1	acen
chr10	809	823	PZA02049.1	acen
